implementation,dataset,processes,px,py,pz,iteration,nx,ny,nz,timesteps,read_time,main_time,total_time,wall_time
coll_IO_der,../data/data_64_64_96_7.bin,16,4,2,2,4,64,64,96,7,0.0212,0.0026,0.0238,1.238711500
send,../data/data_64_64_96_7.bin,16,4,2,2,0,64,64,96,7,0.0278,0.0119,0.0313,1.243988361
send,../data/data_64_64_96_7.bin,16,4,2,2,1,64,64,96,7,0.0242,0.0116,0.0272,1.234186473
send,../data/data_64_64_96_7.bin,16,4,2,2,2,64,64,96,7,0.0250,0.0119,0.0279,1.221840983
send,../data/data_64_64_96_7.bin,16,4,2,2,3,64,64,96,7,0.0236,0.0116,0.0267,1.235482795
send,../data/data_64_64_96_7.bin,16,4,2,2,4,64,64,96,7,0.0245,0.0119,0.0285,1.240630228
ind_IO,../data/data_64_64_96_7.bin,16,4,2,2,0,64,64,96,7,0.0928,0.0026,0.0954,1.270427326
ind_IO,../data/data_64_64_96_7.bin,16,4,2,2,1,64,64,96,7,0.0928,0.0026,0.0954,1.301243808
ind_IO,../data/data_64_64_96_7.bin,16,4,2,2,2,64,64,96,7,0.0927,0.0026,0.0953,1.290100615
ind_IO,../data/data_64_64_96_7.bin,16,4,2,2,3,64,64,96,7,0.0936,0.0026,0.0962,1.301706125
ind_IO,../data/data_64_64_96_7.bin,16,4,2,2,4,64,64,96,7,0.0930,0.0026,0.0956,1.294669800
ind_IO_der,../data/data_64_64_96_7.bin,16,4,2,2,0,64,64,96,7,0.0102,0.0026,0.0128,1.219473291
ind_IO_der,../data/data_64_64_96_7.bin,16,4,2,2,1,64,64,96,7,0.0102,0.0026,0.0128,1.218586635
ind_IO_der,../data/data_64_64_96_7.bin,16,4,2,2,2,64,64,96,7,0.0107,0.0026,0.0133,1.214091779
ind_IO_der,../data/data_64_64_96_7.bin,16,4,2,2,3,64,64,96,7,0.0105,0.0028,0.0133,1.216175442
ind_IO_der,../data/data_64_64_96_7.bin,16,4,2,2,4,64,64,96,7,0.0105,0.0026,0.0131,1.221674480
isend,../data/data_64_64_96_7.bin,16,4,2,2,0,64,64,96,7,0.0316,0.0191,0.0356,1.238563574
isend,../data/data_64_64_96_7.bin,16,4,2,2,1,64,64,96,7,0.0302,0.0182,0.0339,1.237477660
isend,../data/data_64_64_96_7.bin,16,4,2,2,2,64,64,96,7,0.0307,0.0186,0.0343,1.241439701
isend,../data/data_64_64_96_7.bin,16,4,2,2,3,64,64,96,7,0.0284,0.0155,0.0319,1.253016635
isend,../data/data_64_64_96_7.bin,16,4,2,2,4,64,64,96,7,0.0322,0.0189,0.0353,1.242360280
coll_IO_der,../data/data_64_64_96_7.bin,32,4,4,2,0,64,64,96,7,0.6681,0.0015,0.6696,2.321391338
coll_IO_der,../data/data_64_64_96_7.bin,32,4,4,2,1,64,64,96,7,0.5141,0.0016,0.5157,2.398472157
coll_IO_der,../data/data_64_64_96_7.bin,32,4,4,2,2,64,64,96,7,0.6599,0.0015,0.6614,2.286383825
coll_IO_der,../data/data_64_64_96_7.bin,32,4,4,2,3,64,64,96,7,0.6464,0.0015,0.6479,2.297454028
coll_IO_der,../data/data_64_64_96_7.bin,32,4,4,2,4,64,64,96,7,0.6503,0.0016,0.6518,2.290729103
send,../data/data_64_64_96_7.bin,32,4,4,2,0,64,64,96,7,0.6400,0.4141,0.6458,2.280747954
send,../data/data_64_64_96_7.bin,32,4,4,2,1,64,64,96,7,0.6445,0.4496,0.6467,2.272093996
send,../data/data_64_64_96_7.bin,32,4,4,2,2,64,64,96,7,0.6423,0.2877,0.6442,2.284137655
send,../data/data_64_64_96_7.bin,32,4,4,2,3,64,64,96,7,0.6482,0.6003,0.6502,2.280578335
send,../data/data_64_64_96_7.bin,32,4,4,2,4,64,64,96,7,0.6363,0.0607,0.6383,2.293410809
ind_IO,../data/data_64_64_96_7.bin,32,4,4,2,0,64,64,96,7,0.7456,0.0015,0.7471,2.394508736
ind_IO,../data/data_64_64_96_7.bin,32,4,4,2,1,64,64,96,7,0.7910,0.0015,0.7925,2.429498792
ind_IO,../data/data_64_64_96_7.bin,32,4,4,2,2,64,64,96,7,0.7472,0.0015,0.7487,2.387462178
ind_IO,../data/data_64_64_96_7.bin,32,4,4,2,3,64,64,96,7,0.1347,0.0015,0.1363,3.318217864
ind_IO,../data/data_64_64_96_7.bin,32,4,4,2,4,64,64,96,7,0.5806,0.0016,0.5822,2.460348725
ind_IO_der,../data/data_64_64_96_7.bin,32,4,4,2,0,64,64,96,7,0.6805,0.0016,0.6821,2.314703212
ind_IO_der,../data/data_64_64_96_7.bin,32,4,4,2,1,64,64,96,7,0.4561,0.0016,0.4577,2.387660502
ind_IO_der,../data/data_64_64_96_7.bin,32,4,4,2,2,64,64,96,7,0.5399,0.0016,0.5414,2.360551338
ind_IO_der,../data/data_64_64_96_7.bin,32,4,4,2,3,64,64,96,7,0.4636,0.0016,0.4651,2.352555418
ind_IO_der,../data/data_64_64_96_7.bin,32,4,4,2,4,64,64,96,7,0.6690,0.0016,0.6706,2.289436315
isend,../data/data_64_64_96_7.bin,32,4,4,2,0,64,64,96,7,0.6596,0.6467,0.6615,2.306613399
isend,../data/data_64_64_96_7.bin,32,4,4,2,1,64,64,96,7,0.6546,0.6368,0.6574,2.288553785
isend,../data/data_64_64_96_7.bin,32,4,4,2,2,64,64,96,7,0.6493,0.6370,0.6515,2.273554534
isend,../data/data_64_64_96_7.bin,32,4,4,2,3,64,64,96,7,0.6350,0.7068,0.7200,2.350540456
isend,../data/data_64_64_96_7.bin,32,4,4,2,4,64,64,96,7,0.3278,0.3162,0.3299,2.367860717
